Step,AliveRuns,AvgCommitters,AvgContributors
865,3991,70.86,103.15
866,3991,70.96,103.24
867,3991,71.06,103.34
868,3991,71.15,103.44
869,3991,71.25,103.55
870,3991,71.36,103.64
871,3991,71.46,103.74
872,3991,71.57,103.84
873,3991,71.66,103.94
874,3991,71.76,104.05
875,3991,71.86,104.15
876,3991,71.95,104.25
877,3991,72.04,104.36
878,3991,72.14,104.48
879,3991,72.24,104.59
880,3991,72.34,104.70
881,3991,72.43,104.80
882,3991,72.53,104.91
883,3991,72.64,105.02
884,3991,72.73,105.12
885,3991,72.82,105.23
886,3991,72.92,105.34
887,3991,73.02,105.44
888,3991,73.12,105.54
889,3991,73.22,105.63
890,3991,73.31,105.74
891,3991,73.41,105.85
892,3991,73.50,105.95
893,3991,73.59,106.05
894,3991,73.69,106.15
895,3991,73.78,106.27
896,3991,73.87,106.36
897,3991,73.96,106.47
898,3991,74.05,106.57
899,3991,74.15,106.68
900,3991,74.24,106.79
901,3991,74.35,106.88
902,3991,74.44,107.00
903,3991,74.54,107.10
904,3991,74.64,107.20
905,3991,74.74,107.30
906,3991,74.84,107.40
907,3991,74.93,107.50
908,3991,75.03,107.60
909,3991,75.12,107.71
910,3991,75.22,107.81
911,3991,75.31,107.92
912,3991,75.40,108.03
913,3991,75.50,108.13
914,3991,75.60,108.24
915,3991,75.69,108.36
916,3991,75.78,108.46
917,3991,75.88,108.55
918,3991,75.97,108.65
919,3991,76.07,108.76
920,3991,76.16,108.87
921,3991,76.26,108.97
922,3991,76.35,109.08
923,3991,76.45,109.18
924,3991,76.54,109.30
925,3991,76.64,109.41
926,3991,76.74,109.51
927,3991,76.83,109.61
928,3991,76.94,109.70
929,3991,77.04,109.80
930,3991,77.12,109.90
931,3991,77.22,109.99
932,3991,77.31,110.09
933,3991,77.40,110.20
934,3991,77.49,110.31
935,3991,77.59,110.41
936,3991,77.68,110.52
937,3991,77.78,110.64
938,3991,77.88,110.73
939,3991,77.97,110.84
940,3991,78.07,110.93
941,3991,78.15,111.05
942,3991,78.25,111.16
943,3991,78.35,111.26
944,3991,78.44,111.38
945,3991,78.53,111.49
946,3991,78.63,111.59
947,3991,78.72,111.70
948,3991,78.82,111.80
949,3991,78.91,111.90
950,3991,79.02,111.99
951,3991,79.11,112.09
952,3991,79.21,112.18
953,3991,79.31,112.29
954,3991,79.40,112.39
955,3991,79.50,112.51
956,3991,79.60,112.61
957,3991,79.70,112.70
958,3991,79.80,112.80
959,3991,79.89,112.90
